,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
0,USA,"83,953,371",,"1,025,764 ",,"81,107,296",,"1,820,311","1,794","250,905","3,066","1,014,741,268","3,032,684","334,601,743 ",North America
1,India,"43,113,413",,"524,181 ",,"42,570,165",,"19,067",698,"30,682",373,"842,458,167","599,545","1,405,161,912 ",Asia
2,France,"29,061,523",,"147,075 ",,"27,928,942",,"985,506","1,364","443,408","2,244","269,816,888","4,116,745","65,541,322 ",Europe
3,UK,"22,145,157",,"176,424 ",,"21,616,575",,"352,158",253,"323,064","2,574","519,264,096","7,575,273","68,547,249 ",Europe
4,S. Korea,"17,694,677","+35,883","23,554 ",+63,N/A,N/A,N/A,354,"344,583",459,"15,804,065","307,766","51,350,995 ",Asia
5,Turkey,"15,048,449",,"98,870 ",,"14,946,104",,"3,475",975,"174,938","1,149","160,225,407","1,862,614","86,021,816 ",Asia
6,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"198,006","2,801","35,716,069","777,031","45,964,778 ",South America
7,Netherlands,"8,064,424",,"22,287 ",,"7,973,252",,"68,885",57,"468,721","1,295","21,107,399","1,226,806","17,205,170 ",Europe
8,Iran,"7,226,672",,"141,198 ",,"7,012,770",,"72,704",818,"84,044","1,642","51,622,353","600,356","85,986,283 ",Asia
9,Colombia,"6,093,645",,"139,809 ",,"5,927,076",,"26,760",342,"117,437","2,694","34,560,302","666,049","51,888,507 ",South America
10,Poland,"6,001,893",,"116,164 ",,"5,335,004",,"550,725",981,"158,907","3,076","36,188,226","958,127","37,769,758 ",Europe
11,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A,177,"115,765","2,508","19,521,252","451,393","43,246,695 ",Europe
12,Thailand,"4,353,237","+8,019","29,314 ",+59,"4,246,499","+8,807","77,424","1,496","62,078",418,"17,270,775","246,286","70,124,735 ",Asia
13,Belgium,"4,102,082",,"31,580 ",,"3,912,251","+8,540","158,251",122,"351,111","2,703","33,779,532","2,891,304","11,683,149 ",Europe
14,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A,61,"388,098","2,211","41,697,794","4,111,564","10,141,589 ",Europe
15,South Africa,"3,862,165",,"100,609 ",,"3,691,684",,"69,872",192,"63,632","1,658","24,765,642","408,033","60,695,163 ",Africa
16,Philippines,"3,687,428",,"60,439 ",,"3,623,661",,"3,328",289,"32,840",538,"29,763,475","265,070","112,285,313 ",Asia
17,Chile,"3,586,522",,"57,667 ",,"3,456,624",,"72,231",173,"184,677","2,969","37,466,692","1,929,237","19,420,468 ",South America
18,Greece,"3,375,812",,"29,471 ",,"3,287,981",,"58,360",185,"326,839","2,853","80,897,630","7,832,338","10,328,670 ",Europe
19,Romania,"2,901,080",,"65,589 ",,N/A,N/A,N/A,144,"152,690","3,452","22,891,994","1,204,855","18,999,797 ",Europe
20,Iraq,"2,326,033",,"25,215 ",,"2,299,572",,"1,246",14,"55,520",602,"18,512,761","441,879","41,895,563 ",Asia
21,Bangladesh,"1,952,888",,"29,127 ",,"1,898,312",,"25,449","1,273","11,643",174,"14,033,932","83,669","167,731,723 ",Asia
22,Slovakia,"1,786,328",+350,"20,011 ",+9,"1,759,094","+1,117","7,223",33,"326,894","3,662","7,122,263","1,303,359","5,464,545 ",Europe
23,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,411","4,229","16,920,079","4,256,656","3,974,970 ",Asia
24,Ireland,"1,524,555",,"7,163 ",,"1,485,903",,"31,489",30,"302,488","1,421","12,132,098","2,407,135","5,040,057 ",Europe
25,Kazakhstan,"1,305,620",+13,"13,661 ",,"1,291,388",+12,571,24,"68,025",712,"11,575,012","603,080","19,193,146 ",Asia
26,Hong Kong,"1,207,371",,"9,355 ",,N/A,N/A,N/A,5,"158,661","1,229","44,972,952","5,909,903","7,609,762 ",Asia
27,Bulgaria,"1,160,706",,"37,019 ",,"999,645",,"124,042",67,"169,409","5,403","9,909,423","1,446,317","6,851,486 ",Europe
28,Cuba,"1,104,206",,"8,529 ",,"1,095,154",,523,23,"97,598",754,"12,920,253","1,141,991","11,313,798 ",North America
29,Lithuania,"1,060,277",+205,"9,127 ",+2,"1,031,608",+673,"19,542",12,"399,818","3,442","9,953,263","3,753,262","2,651,897 ",Europe
30,Tunisia,"1,041,197",,"28,575 ",,N/A,N/A,N/A,29,"86,421","2,372","4,592,916","381,221","12,047,923 ",Africa
31,Slovenia,"1,017,676",,"6,616 ",,"1,000,998",,"10,062",19,"489,392","3,182","2,654,455","1,276,507","2,079,468 ",Europe
32,Nepal,"978,978",,"11,952 ",,"966,839",,187,,"32,515",397,"5,662,311","188,064","30,108,348 ",Asia
33,UAE,"901,076",,"2,302 ",,"885,035",,"13,739",,"89,110",228,"158,184,246","15,643,265","10,111,971 ",Asia
34,Ecuador,"871,046",,"35,602 ",,N/A,N/A,N/A,759,"48,019","1,963","2,470,170","136,174","18,139,765 ",South America
35,Guatemala,"850,255",,"17,719 ",,"830,386",,"2,150",5,"45,885",956,"4,516,595","243,746","18,529,950 ",North America
36,Panama,"796,461",,"8,199 ",,"769,618",,"18,644",16,"179,355","1,846","5,975,743","1,345,677","4,440,696 ",North America
37,Saudi Arabia,"757,191",,"9,108 ",,"742,927",,"5,156",60,"21,139",254,"42,049,904","1,173,953","35,819,075 ",Asia
38,Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,064","2,587","2,633,737","361,034","7,294,987 ",South America
39,Myanmar,"613,082",,"19,434 ",,"592,001",,"1,647",,"11,130",353,"8,049,855","146,132","55,086,148 ",Asia
40,Dominican Republic,"580,020",,"4,376 ",,"575,175",,469,1,"52,492",396,"3,296,116","298,301","11,049,619 ",North America
41,Estonia,"573,922",,"2,556 ",,"514,836",,"56,530",3,"432,109","1,924","3,345,340","2,518,723","1,328,189 ",Europe
42,Venezuela,"522,840",,"5,710 ",,"516,065",,"1,065",230,"18,484",202,"3,359,014","118,749","28,286,566 ",South America
43,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,869",232,"3,693,367","34,872","105,912,541 ",Africa
44,Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,396",843,"9,477,138","7,744,936","1,223,656 ",Asia
45,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,177",645,"4,030,048","1,193,675","3,376,168 ",Asia
46,Armenia,"422,896",,"8,623 ",,"412,048",,"2,225",,"142,221","2,900","3,068,217","1,031,850","2,973,512 ",Asia
47,Oman,"389,344",,"4,259 ",,"384,525",,560,3,"72,811",796,"25,000,000","4,675,220","5,347,342 ",Asia
48,Qatar,"365,657",,677 ,,"364,059",,921,2,"130,229",241,"3,474,465","1,237,431","2,807,805 ",Asia
49,Zambia,"320,303",,"3,983 ",,"315,792",,528,1,"16,563",206,"3,446,017","178,198","19,338,144 ",Africa
50,Botswana,"306,324",,"2,690 ",,"303,026",,608,1,"125,561","1,103","2,026,898","830,816","2,439,647 ",Africa
51,Algeria,"265,806",,"6,875 ",,"178,368",,"80,563",6,"5,865",152,"230,861","5,094","45,319,019 ",Africa
52,Zimbabwe,"248,642",,"5,481 ",,"242,198",,963,12,"16,289",359,"2,278,641","149,281","15,264,075 ",Africa
53,Uzbekistan,"238,747",,"1,637 ",,"236,862",,248,23,"6,947",48,"1,377,915","40,092","34,368,538 ",Asia
54,Mozambique,"225,451",,"2,201 ",,"223,186",,64,13,"6,857",67,"1,318,072","40,089","32,878,321 ",Africa
55,Laos,"209,243",+94,752 ,,"7,660",,"200,831",,"28,006",101,"1,232,128","164,915","7,471,304 ",Asia
56,Iceland,"186,179",,120 ,,N/A,N/A,N/A,,"539,102",347,"2,264,004","6,555,680","345,350 ",Europe
57,Afghanistan,"179,131",,"7,686 ",,"162,077",,"9,368","1,124","4,417",190,"948,623","23,392","40,553,432 ",Asia
58,El Salvador,"162,089",,"4,129 ",,"150,662",,"7,298",8,"24,758",631,"1,950,448","297,920","6,546,890 ",North America
59,Namibia,"159,503",,"4,028 ",,"153,662",,"1,813",,"60,735","1,534","1,015,142","386,542","2,626,212 ",Africa
60,Trinidad and Tobago,"152,964",,"3,863 ",,"140,228",,"8,873",18,"108,648","2,744","722,629","513,271","1,407,891 ",North America
61,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,105","2,134","938,039","2,343,627","400,251 ",North America
62,Jamaica,"131,544",,"2,987 ",,"84,709",,"43,848",,"44,066","1,001","1,026,089","343,733","2,985,133 ",North America
63,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,313",69,"1,751,774","63,080","27,770,620 ",Africa
64,Malta,"93,149",,713 ,,"89,464",,"2,972",4,"209,926","1,607","1,899,855","4,281,624","443,723 ",Europe
65,Senegal,"86,023",,"1,966 ",,"84,044",,13,,"4,898",112,"1,077,543","61,357","17,561,719 ",Africa
66,Ivory Coast,"81,977",,799 ,,"81,164",,14,,"2,971",29,"1,508,044","54,661","27,588,977 ",Africa
67,Suriname,"80,008",,"1,337 ",,"49,455",,"29,216",,"134,157","2,242","236,268","396,172","596,378 ",South America
68,Barbados,"74,967",,430 ,,"70,254",,"4,283",,"260,278","1,493","664,507","2,307,100","288,027 ",North America
69,Eswatini,"71,480",,"1,402 ",,"69,373",,705,11,"60,451","1,186","1,020,084","862,696","1,182,437 ",Africa
70,Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473",14,"2,214",48,"430,995","14,857","29,010,437 ",Africa
71,Sudan,"62,161",,"4,936 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,306","45,746,964 ",Africa
72,Bhutan,"59,552",+12,21 ,,"59,397",+64,134,2,"75,635",27,"2,303,482","2,925,569","787,362 ",Asia
73,Belize,"57,787",,676 ,,"56,744",,367,6,"140,598","1,645","547,512","1,332,114","411,010 ",North America
74,Syria,"55,865",,"3,150 ",,"52,376",,339,,"3,055",172,"146,269","7,998","18,288,648 ",Asia
75,Papua New Guinea,"43,843",,651 ,,"43,172",,20,7,"4,734",70,"249,149","26,902","9,261,214 ",Australia/Oceania
76,Curaçao,"42,567",,275 ,,"41,905",,387,3,"257,456","1,663","496,693","3,004,125","165,337 ",North America
77,Burundi,"41,216",,38 ,,N/A,N/A,N/A,,"3,285",3,"345,742","27,556","12,547,083 ",Africa
78,Mayotte,"37,363",,187 ,,"2,964",,"34,212",,"131,091",656,"176,919","620,734","285,016 ",Africa
79,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,643",32,"660,107","47,858","13,793,000 ",Africa
80,Aruba,"35,189",,212 ,,"34,774",,203,,"327,014","1,970","177,885","1,653,099","107,607 ",North America
81,Bahamas,"33,803",,798 ,,"32,451",,554,,"84,463","1,994","229,817","574,240","400,211 ",North America
82,Mali,"30,960",,733 ,,"30,048",,179,,"1,451",34,"672,778","31,539","21,331,812 ",Africa
83,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,930","1,013","150,753","1,755,657","85,867 ",Europe
84,Somalia,"26,518",,"1,350 ",,"13,182",,"11,986",,"1,586",81,"400,466","23,958","16,714,995 ",Africa
85,Saint Lucia,"23,978",,368 ,,"23,144",,466,1,"129,483","1,987","143,281","773,727","185,183 ",North America
