,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
0,USA,"85,113,962",,"1,029,121 ",,"81,701,524",,"2,383,317","2,278","254,326","3,075","1,022,513,255","3,055,331","334,665,263 ",North America
1,India,"43,139,499",,"524,459 ",,"42,599,102",,"15,938",698,"30,691",373,"847,092,226","602,653","1,405,606,396 ",Asia
2,France,"29,359,336",,"147,917 ",,"28,609,848",,"601,571","1,173","447,919","2,257","271,490,188","4,141,977","65,546,044 ",Europe
3,UK,"22,238,715",,"177,977 ",,"21,850,869","+14,553","209,869",188,"324,374","2,596","522,526,476","7,621,568","68,558,917 ",Europe
4,S. Korea,"17,993,985","+26,313","24,006 ",+19,"17,440,795","+26,692","529,184",232,"350,402",467,"15,804,065","307,757","51,352,437 ",Asia
5,Turkey,"15,063,203",,"98,929 ",,"14,961,011",,"3,263",975,"175,049","1,150","161,664,811","1,878,697","86,051,554 ",Asia
6,Argentina,"9,178,795",,"128,825 ",,"8,895,999",,"153,971",300,"199,633","2,802","35,716,069","776,802","45,978,362 ",South America
7,Iran,"7,230,321",,"141,281 ",,"7,035,798",,"53,242",649,"84,052","1,642","52,031,785","604,869","86,021,530 ",Asia
8,Colombia,"6,099,111",,"139,833 ",,"5,930,545",,"28,733",342,"117,502","2,694","34,792,844","670,301","51,906,279 ",South America
9,Poland,"6,005,596",,"116,268 ",,"5,335,262",,"554,066",981,"159,011","3,078","36,286,936","960,775","37,768,404 ",Europe
10,Ukraine,"5,009,301",,"108,497 ",,N/A,N/A,N/A,177,"115,854","2,509","19,521,252","451,482","43,238,126 ",Europe
11,Thailand,"4,419,737","+4,144","29,814 ",+36,"4,342,047","+7,235","47,876","1,496","63,022",425,"17,270,775","246,266","70,130,461 ",Asia
12,Belgium,"4,134,293",,"31,675 ",,"3,997,240","+6,360","105,378",105,"353,818","2,711","33,947,485","2,905,269","11,684,799 ",Europe
13,Portugal,"4,066,674",,"22,583 ",,N/A,N/A,N/A,61,"401,028","2,227","42,298,739","4,171,219","10,140,618 ",Europe
14,Czechia,"3,918,127",,"40,266 ",,"3,876,254",,"1,607",6,"364,597","3,747","55,366,573","5,152,072","10,746,468 ",Europe
15,Philippines,"3,689,132",,"60,455 ",,"3,626,406",,"2,271",480,"32,841",538,"30,029,881","267,329","112,333,137 ",Asia
16,Switzerland,"3,642,604",,"13,934 ",,"3,582,765","+3,147","45,905",71,"415,156","1,588","20,991,820","2,392,488","8,774,054 ",Europe
17,Greece,"3,422,233",,"29,711 ",,"3,346,122",,"46,400",151,"331,387","2,877","81,883,919","7,929,103","10,327,009 ",Europe
18,DPRK,"2,948,900","+134,520",68 ,,"2,548,590","+213,680","400,242",,"113,454",3,,,"25,991,994 ",Asia
19,Sweden,"2,506,607",,"18,908 ",,"2,480,696",+213,"7,003",7,"245,311","1,850","18,573,144","1,817,672","10,218,095 ",Europe
20,Serbia,"2,015,382",,"16,068 ",,"1,992,675",,"6,639",8,"232,429","1,853","9,656,839","1,113,697","8,670,976 ",Europe
21,Hungary,"1,914,697",,"46,446 ",,"1,830,803",,"37,448",21,"199,156","4,831","11,394,556","1,185,195","9,614,073 ",Europe
22,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"162,995","1,352","16,670,254","1,603,793","10,394,269 ",Asia
